[WARN] [1778234582.928381769] [aruco_distance_test]: Using default camera parameters
[INFO] [1778234583.503907387] [aruco_distance_test]: id=4, distance=0.2185, z=0.2136
[INFO] [1778234584.066364860] [aruco_distance_test]: id=4, distance=0.2185, z=0.2136
[INFO] [1778234584.632472761] [aruco_distance_test]: id=4, distance=0.2185, z=0.2136
[INFO] [1778234585.191788717] [aruco_distance_test]: id=4, distance=0.2181, z=0.2132
[INFO] [1778234585.798644056] [aruco_distance_test]: id=4, distance=0.2181, z=0.2132
[INFO] [1778234586.433801412] [aruco_distance_test]: id=4, distance=0.2185, z=0.2136
[INFO] [1778234586.967991261] [aruco_distance_test]: id=4, distance=0.2178, z=0.2129
[INFO] [1778234587.469050686] [aruco_distance_test]: id=4, distance=0.2185, z=0.2136
[INFO] [1778234587.773583770] [aruco_distance_test]: id=4, distance=0.2178, z=0.2129
[INFO] [1778234588.316825639] [aruco_distance_test]: id=4, distance=0.2185, z=0.2136
[INFO] [1778234588.800044526] [aruco_distance_test]: id=4, distance=0.2178, z=0.2129
[INFO] [1778234589.360141454] [aruco_distance_test]: id=4, distance=0.2181, z=0.2132
[INFO] [1778234589.851226600] [aruco_distance_test]: id=4, distance=0.2185, z=0.2136
[INFO] [1778234590.449899562] [aruco_distance_test]: id=4, distance=0.2181, z=0.2132
[INFO] [1778234590.961955531] [aruco_distance_test]: id=4, distance=0.2181, z=0.2132
[INFO] [1778234591.533561246] [aruco_distance_test]: id=4, distance=0.2181, z=0.2132
[INFO] [1778234591.853929382] [aruco_distance_test]: id=4, distance=0.2185, z=0.2136
[INFO] [1778234592.156754722] [aruco_distance_test]: id=4, distance=0.2181, z=0.2132
[INFO] [1778234592.722582626] [aruco_distance_test]: id=4, distance=0.2181, z=0.2132
[INFO] [1778234593.306042252] [aruco_distance_test]: id=4, distance=0.2181, z=0.2132
[INFO] [1778234593.751044341] [aruco_distance_test]: id=4, distance=0.2181, z=0.2132
[INFO] [1778234594.333031956] [aruco_distance_test]: id=4, distance=0.2178, z=0.2129
[INFO] [1778234594.774746659] [aruco_distance_test]: id=4, distance=0.2185, z=0.2136
[INFO] [1778234595.292834957] [aruco_distance_test]: id=4, distance=0.2181, z=0.2132
[INFO] [1778234595.787316190] [aruco_distance_test]: id=4, distance=0.2181, z=0.2132
[INFO] [1778234596.327517728] [aruco_distance_test]: id=4, distance=0.2181, z=0.2132
[INFO] [1778234596.871045752] [aruco_distance_test]: id=4, distance=0.2181, z=0.2132
[INFO] [1778234597.400340438] [aruco_distance_test]: id=4, distance=0.2185, z=0.2136
