[INFO] [1778233374.554467126] [aruco_distance_test]: Loaded calibration: /home/ccc/camera_calibration/calibration_data.npz
[INFO] [1778233375.096893298] [aruco_distance_test]: id=4, distance=0.8379, z=0.8316
[INFO] [1778233375.475405416] [aruco_distance_test]: id=4, distance=0.8378, z=0.8315
[INFO] [1778233376.117035964] [aruco_distance_test]: id=4, distance=0.8379, z=0.8316
[INFO] [1778233376.472241979] [aruco_distance_test]: id=4, distance=0.8379, z=0.8316
[INFO] [1778233377.037429412] [aruco_distance_test]: id=4, distance=0.8379, z=0.8316
[INFO] [1778233377.607585491] [aruco_distance_test]: id=4, distance=0.8379, z=0.8316
[INFO] [1778233377.935516661] [aruco_distance_test]: id=4, distance=0.8367, z=0.8305
[INFO] [1778233378.918604889] [aruco_distance_test]: id=4, distance=0.8379, z=0.8316
[INFO] [1778233379.520717572] [aruco_distance_test]: id=4, distance=0.8379, z=0.8316
[INFO] [1778233380.418176695] [aruco_distance_test]: id=4, distance=0.8379, z=0.8316
[INFO] [1778233381.067801280] [aruco_distance_test]: id=4, distance=0.8379, z=0.8316
[INFO] [1778233383.162443275] [aruco_distance_test]: id=4, distance=0.8379, z=0.8316
[INFO] [1778233383.739664057] [aruco_distance_test]: id=4, distance=0.8379, z=0.8316
[INFO] [1778233384.044450142] [aruco_distance_test]: id=4, distance=0.8367, z=0.8305
[INFO] [1778233385.231169770] [aruco_distance_test]: id=4, distance=0.8367, z=0.8305
[INFO] [1778233385.561819573] [aruco_distance_test]: id=4, distance=0.8379, z=0.8316
[INFO] [1778233386.629841188] [aruco_distance_test]: id=4, distance=0.8379, z=0.8316
[INFO] [1778233387.447080213] [aruco_distance_test]: id=4, distance=0.8367, z=0.8305
[INFO] [1778233387.967243994] [aruco_distance_test]: id=4, distance=0.8367, z=0.8305
[INFO] [1778233388.462597337] [aruco_distance_test]: id=4, distance=0.8367, z=0.8305
