[WARN] [1778234398.831149616] [aruco_distance_test]: Using default camera parameters
[INFO] [1778234399.874100895] [aruco_distance_test]: id=4, distance=0.5358, z=0.5277
[INFO] [1778234400.205284222] [aruco_distance_test]: id=4, distance=0.5358, z=0.5277
[INFO] [1778234400.515684275] [aruco_distance_test]: id=4, distance=0.5375, z=0.5293
[INFO] [1778234400.844417138] [aruco_distance_test]: id=4, distance=0.5358, z=0.5277
[INFO] [1778234401.444823779] [aruco_distance_test]: id=4, distance=0.5358, z=0.5277
[INFO] [1778234401.870095881] [aruco_distance_test]: id=4, distance=0.5355, z=0.5274
[INFO] [1778234402.413809366] [aruco_distance_test]: id=4, distance=0.5341, z=0.5260
[INFO] [1778234402.936303098] [aruco_distance_test]: id=4, distance=0.5375, z=0.5293
[INFO] [1778234403.396483383] [aruco_distance_test]: id=4, distance=0.5358, z=0.5277
[INFO] [1778234403.980210513] [aruco_distance_test]: id=4, distance=0.5343, z=0.5264
[INFO] [1778234404.559146152] [aruco_distance_test]: id=4, distance=0.5375, z=0.5293
[INFO] [1778234405.098171758] [aruco_distance_test]: id=4, distance=0.5322, z=0.5240
[INFO] [1778234405.591954384] [aruco_distance_test]: id=4, distance=0.5375, z=0.5293
[INFO] [1778234406.104611524] [aruco_distance_test]: id=4, distance=0.5322, z=0.5240
[INFO] [1778234406.413546867] [aruco_distance_test]: id=4, distance=0.5375, z=0.5293
[INFO] [1778234406.721868333] [aruco_distance_test]: id=4, distance=0.5358, z=0.5277
[INFO] [1778234407.239896529] [aruco_distance_test]: id=4, distance=0.5318, z=0.5238
[INFO] [1778234407.821522036] [aruco_distance_test]: id=4, distance=0.5355, z=0.5274
[INFO] [1778234408.424053807] [aruco_distance_test]: id=4, distance=0.5322, z=0.5240
[INFO] [1778234408.898668907] [aruco_distance_test]: id=4, distance=0.5358, z=0.5277
[INFO] [1778234409.402400086] [aruco_distance_test]: id=4, distance=0.5375, z=0.5293
[INFO] [1778234409.936661160] [aruco_distance_test]: id=4, distance=0.5358, z=0.5277
[INFO] [1778234410.514099031] [aruco_distance_test]: id=4, distance=0.5307, z=0.5226
[INFO] [1778234411.020943699] [aruco_distance_test]: id=4, distance=0.5358, z=0.5277
[INFO] [1778234411.604254320] [aruco_distance_test]: id=4, distance=0.5322, z=0.5240
[INFO] [1778234412.099036563] [aruco_distance_test]: id=4, distance=0.5280, z=0.5201
[INFO] [1778234412.635537731] [aruco_distance_test]: id=4, distance=0.5336, z=0.5255
[INFO] [1778234413.138987862] [aruco_distance_test]: id=4, distance=0.5358, z=0.5277
