[INFO] [1778234351.312517629] [aruco_distance_test]: Loaded calibration: /home/ccc/camera_calibration/calibration_data.npz
[INFO] [1778234351.669961696] [aruco_distance_test]: id=4, distance=1.2733, z=1.2625
[INFO] [1778234352.214328083] [aruco_distance_test]: id=4, distance=1.2733, z=1.2625
[INFO] [1778234352.760136219] [aruco_distance_test]: id=4, distance=1.2733, z=1.2625
[INFO] [1778234353.326490502] [aruco_distance_test]: id=4, distance=1.2776, z=1.2669
[INFO] [1778234353.646079089] [aruco_distance_test]: id=4, distance=1.2733, z=1.2625
[INFO] [1778234354.182436517] [aruco_distance_test]: id=4, distance=1.2774, z=1.2666
[INFO] [1778234354.792881182] [aruco_distance_test]: id=4, distance=1.2733, z=1.2625
[INFO] [1778234355.160168017] [aruco_distance_test]: id=4, distance=1.2733, z=1.2625
[INFO] [1778234355.759415061] [aruco_distance_test]: id=4, distance=1.2733, z=1.2625
[INFO] [1778234356.107264292] [aruco_distance_test]: id=4, distance=1.2733, z=1.2625
[INFO] [1778234356.409564713] [aruco_distance_test]: id=4, distance=1.2693, z=1.2585
[INFO] [1778234356.721440837] [aruco_distance_test]: id=4, distance=1.2748, z=1.2640
[INFO] [1778234357.064140154] [aruco_distance_test]: id=4, distance=1.2774, z=1.2666
[INFO] [1778234357.608603753] [aruco_distance_test]: id=4, distance=1.2733, z=1.2625
[INFO] [1778234357.910957438] [aruco_distance_test]: id=4, distance=1.2733, z=1.2625
[INFO] [1778234358.485127335] [aruco_distance_test]: id=4, distance=1.2748, z=1.2640
[INFO] [1778234359.006625387] [aruco_distance_test]: id=4, distance=1.2733, z=1.2625
[INFO] [1778234359.380277687] [aruco_distance_test]: id=4, distance=1.2634, z=1.2527
[INFO] [1778234359.911326201] [aruco_distance_test]: id=4, distance=1.2733, z=1.2625
[INFO] [1778234360.432816606] [aruco_distance_test]: id=4, distance=1.2733, z=1.2625
[INFO] [1778234360.945608599] [aruco_distance_test]: id=4, distance=1.2733, z=1.2625
[INFO] [1778234361.290655446] [aruco_distance_test]: id=4, distance=1.2748, z=1.2640
[INFO] [1778234361.747006992] [aruco_distance_test]: id=4, distance=1.2733, z=1.2625
[INFO] [1778234362.262099697] [aruco_distance_test]: id=4, distance=1.2733, z=1.2625
[INFO] [1778234362.837325172] [aruco_distance_test]: id=4, distance=1.2634, z=1.2527
[INFO] [1778234363.378875023] [aruco_distance_test]: id=4, distance=1.2733, z=1.2625
[INFO] [1778234363.809869570] [aruco_distance_test]: id=4, distance=1.2693, z=1.2585
[INFO] [1778234364.128483017] [aruco_distance_test]: id=4, distance=1.2693, z=1.2585
[INFO] [1778234364.656760499] [aruco_distance_test]: id=4, distance=1.2733, z=1.2625
[INFO] [1778234365.170186173] [aruco_distance_test]: id=4, distance=1.2733, z=1.2625
[INFO] [1778234365.735133552] [aruco_distance_test]: id=4, distance=1.2560, z=1.2453
