[WARN] [1778234894.264649458] [aruco_distance_test]: Using default camera parameters
[INFO] [1778234894.939038363] [aruco_distance_test]: id=4, distance=0.4508, z=0.4392
[INFO] [1778234895.535325621] [aruco_distance_test]: id=4, distance=0.4508, z=0.4392
[INFO] [1778234895.888705013] [aruco_distance_test]: id=4, distance=0.4508, z=0.4392
[INFO] [1778234896.477386764] [aruco_distance_test]: id=4, distance=0.4508, z=0.4392
[INFO] [1778234897.097930346] [aruco_distance_test]: id=4, distance=0.4552, z=0.4433
[INFO] [1778234897.788256127] [aruco_distance_test]: id=4, distance=0.4508, z=0.4392
[INFO] [1778234898.135882457] [aruco_distance_test]: id=4, distance=0.4544, z=0.4425
[INFO] [1778234898.511240039] [aruco_distance_test]: id=4, distance=0.4508, z=0.4392
[INFO] [1778234899.105734499] [aruco_distance_test]: id=4, distance=0.4508, z=0.4392
[INFO] [1778234899.681414037] [aruco_distance_test]: id=4, distance=0.4508, z=0.4392
[INFO] [1778234900.126105160] [aruco_distance_test]: id=4, distance=0.4508, z=0.4392
[INFO] [1778234900.451312341] [aruco_distance_test]: id=4, distance=0.4543, z=0.4426
[INFO] [1778234900.774187270] [aruco_distance_test]: id=4, distance=0.4567, z=0.4447
[INFO] [1778234901.140701937] [aruco_distance_test]: id=4, distance=0.4550, z=0.4430
[INFO] [1778234901.727880147] [aruco_distance_test]: id=4, distance=0.4508, z=0.4392
[INFO] [1778234902.049579826] [aruco_distance_test]: id=4, distance=0.4508, z=0.4392
[INFO] [1778234902.410633457] [aruco_distance_test]: id=4, distance=0.4508, z=0.4392
[INFO] [1778234902.955189591] [aruco_distance_test]: id=4, distance=0.4518, z=0.4402
[INFO] [1778234903.287634913] [aruco_distance_test]: id=4, distance=0.4567, z=0.4447
[INFO] [1778234903.819497228] [aruco_distance_test]: id=4, distance=0.4508, z=0.4392
[INFO] [1778234904.440806264] [aruco_distance_test]: id=4, distance=0.4550, z=0.4430
[INFO] [1778234904.742603901] [aruco_distance_test]: id=4, distance=0.4508, z=0.4392
[INFO] [1778234905.352505559] [aruco_distance_test]: id=4, distance=0.4508, z=0.4392
[INFO] [1778234905.883540435] [aruco_distance_test]: id=4, distance=0.4508, z=0.4392
[INFO] [1778234906.183894769] [aruco_distance_test]: id=4, distance=0.4508, z=0.4392
[INFO] [1778234906.734479535] [aruco_distance_test]: id=4, distance=0.4542, z=0.4425
[INFO] [1778234907.397252695] [aruco_distance_test]: id=4, distance=0.4508, z=0.4392
[INFO] [1778234907.928153330] [aruco_distance_test]: id=4, distance=0.4518, z=0.4402
[INFO] [1778234908.519524949] [aruco_distance_test]: id=4, distance=0.4518, z=0.4402
[INFO] [1778234908.856103607] [aruco_distance_test]: id=4, distance=0.4508, z=0.4392
