[INFO] [1778234475.197632783] [aruco_distance_test]: Loaded calibration: /home/ccc/camera_calibration/calibration_data.npz
[INFO] [1778234478.154793307] [aruco_distance_test]: id=4, distance=0.8382, z=0.8290
[INFO] [1778234478.799491497] [aruco_distance_test]: id=4, distance=0.8382, z=0.8290
[INFO] [1778234479.126204146] [aruco_distance_test]: id=4, distance=0.8382, z=0.8290
[INFO] [1778234479.673090469] [aruco_distance_test]: id=4, distance=0.8382, z=0.8290
[INFO] [1778234480.278926817] [aruco_distance_test]: id=4, distance=0.8382, z=0.8290
[INFO] [1778234480.579526709] [aruco_distance_test]: id=4, distance=0.8382, z=0.8290
[INFO] [1778234480.892522681] [aruco_distance_test]: id=4, distance=0.8382, z=0.8290
[INFO] [1778234481.538428860] [aruco_distance_test]: id=4, distance=0.8382, z=0.8290
[INFO] [1778234482.095526808] [aruco_distance_test]: id=4, distance=0.8382, z=0.8290
[INFO] [1778234482.687113085] [aruco_distance_test]: id=4, distance=0.8382, z=0.8290
[INFO] [1778234483.032202970] [aruco_distance_test]: id=4, distance=0.8382, z=0.8290
[INFO] [1778234483.334845329] [aruco_distance_test]: id=4, distance=0.8382, z=0.8290
[INFO] [1778234483.958114918] [aruco_distance_test]: id=4, distance=0.8382, z=0.8290
[INFO] [1778234484.258956069] [aruco_distance_test]: id=4, distance=0.8382, z=0.8290
[INFO] [1778234484.902896083] [aruco_distance_test]: id=4, distance=0.8382, z=0.8290
[INFO] [1778234485.266960741] [aruco_distance_test]: id=4, distance=0.8382, z=0.8290
[INFO] [1778234485.595781636] [aruco_distance_test]: id=4, distance=0.8382, z=0.8290
[INFO] [1778234485.969296462] [aruco_distance_test]: id=4, distance=0.8382, z=0.8290
[INFO] [1778234486.390069795] [aruco_distance_test]: id=4, distance=0.8382, z=0.8290
[INFO] [1778234486.926625675] [aruco_distance_test]: id=4, distance=0.8382, z=0.8290
[INFO] [1778234487.487404814] [aruco_distance_test]: id=4, distance=0.8382, z=0.8290
[INFO] [1778234487.885688521] [aruco_distance_test]: id=4, distance=0.8382, z=0.8290
[INFO] [1778234488.476376930] [aruco_distance_test]: id=4, distance=0.8382, z=0.8290
[INFO] [1778234489.054777565] [aruco_distance_test]: id=4, distance=0.8382, z=0.8290
[INFO] [1778234489.684874380] [aruco_distance_test]: id=4, distance=0.8386, z=0.8293
