[INFO] [1778233519.159506283] [aruco_distance_test]: Loaded calibration: /home/ccc/camera_calibration/calibration_data.npz
[INFO] [1778233522.030880492] [aruco_distance_test]: id=4, distance=0.3098, z=0.3045
[INFO] [1778233522.496601688] [aruco_distance_test]: id=4, distance=0.3100, z=0.3048
[INFO] [1778233522.989789638] [aruco_distance_test]: id=4, distance=0.3112, z=0.3059
[INFO] [1778233523.535536129] [aruco_distance_test]: id=4, distance=0.3097, z=0.3045
[INFO] [1778233524.046974318] [aruco_distance_test]: id=4, distance=0.3107, z=0.3054
[INFO] [1778233524.554763222] [aruco_distance_test]: id=4, distance=0.3098, z=0.3045
[INFO] [1778233525.008415628] [aruco_distance_test]: id=4, distance=0.3097, z=0.3044
[INFO] [1778233525.432049082] [aruco_distance_test]: id=4, distance=0.3098, z=0.3046
[INFO] [1778233525.811941363] [aruco_distance_test]: id=4, distance=0.3114, z=0.3061
[INFO] [1778233526.267182189] [aruco_distance_test]: id=4, distance=0.3114, z=0.3061
[INFO] [1778233526.738880426] [aruco_distance_test]: id=4, distance=0.3098, z=0.3045
[INFO] [1778233527.185976204] [aruco_distance_test]: id=4, distance=0.3112, z=0.3059
[INFO] [1778233527.576385661] [aruco_distance_test]: id=4, distance=0.3104, z=0.3052
[INFO] [1778233527.999250229] [aruco_distance_test]: id=4, distance=0.3115, z=0.3063
[INFO] [1778233528.506330767] [aruco_distance_test]: id=4, distance=0.3098, z=0.3045
[INFO] [1778233529.032292485] [aruco_distance_test]: id=4, distance=0.3102, z=0.3050
[INFO] [1778233529.421074311] [aruco_distance_test]: id=4, distance=0.3103, z=0.3051
[INFO] [1778233529.798413718] [aruco_distance_test]: id=4, distance=0.3107, z=0.3054
[INFO] [1778233530.243884790] [aruco_distance_test]: id=4, distance=0.3104, z=0.3051
[INFO] [1778233530.638494210] [aruco_distance_test]: id=4, distance=0.3104, z=0.3052
[INFO] [1778233531.061999624] [aruco_distance_test]: id=4, distance=0.3098, z=0.3045
[INFO] [1778233531.490604042] [aruco_distance_test]: id=4, distance=0.3100, z=0.3048
[INFO] [1778233531.892010678] [aruco_distance_test]: id=4, distance=0.3115, z=0.3063
[INFO] [1778233532.266568479] [aruco_distance_test]: id=4, distance=0.3104, z=0.3051
[INFO] [1778233532.646212134] [aruco_distance_test]: id=4, distance=0.3103, z=0.3051
[INFO] [1778233533.016086134] [aruco_distance_test]: id=4, distance=0.3107, z=0.3055
[INFO] [1778233533.466915675] [aruco_distance_test]: id=4, distance=0.3115, z=0.3063
