[INFO] [1778233644.237940570] [aruco_distance_test]: Loaded calibration: /home/ccc/camera_calibration/calibration_data.npz
[INFO] [1778233645.074309681] [aruco_distance_test]: id=4, distance=0.5187, z=0.5120
[INFO] [1778233645.647063540] [aruco_distance_test]: id=4, distance=0.5176, z=0.5109
[INFO] [1778233646.161115633] [aruco_distance_test]: id=4, distance=0.5187, z=0.5120
[INFO] [1778233646.725602455] [aruco_distance_test]: id=4, distance=0.5176, z=0.5109
[INFO] [1778233647.030976012] [aruco_distance_test]: id=4, distance=0.5176, z=0.5109
[INFO] [1778233647.576626711] [aruco_distance_test]: id=4, distance=0.5176, z=0.5109
[INFO] [1778233648.107001734] [aruco_distance_test]: id=4, distance=0.5187, z=0.5120
[INFO] [1778233648.637966866] [aruco_distance_test]: id=4, distance=0.5176, z=0.5109
[INFO] [1778233649.207134668] [aruco_distance_test]: id=4, distance=0.5176, z=0.5109
[INFO] [1778233649.539213169] [aruco_distance_test]: id=4, distance=0.5176, z=0.5109
[INFO] [1778233650.116009016] [aruco_distance_test]: id=4, distance=0.5176, z=0.5109
[INFO] [1778233650.580772587] [aruco_distance_test]: id=4, distance=0.5176, z=0.5109
[INFO] [1778233651.081230064] [aruco_distance_test]: id=4, distance=0.5176, z=0.5109
[INFO] [1778233651.671132982] [aruco_distance_test]: id=4, distance=0.5176, z=0.5109
[INFO] [1778233652.280353976] [aruco_distance_test]: id=4, distance=0.5176, z=0.5109
[INFO] [1778233652.797963805] [aruco_distance_test]: id=4, distance=0.5176, z=0.5109
[INFO] [1778233653.342902549] [aruco_distance_test]: id=4, distance=0.5176, z=0.5109
[INFO] [1778233653.837379061] [aruco_distance_test]: id=4, distance=0.5187, z=0.5120
[INFO] [1778233654.382082846] [aruco_distance_test]: id=4, distance=0.5187, z=0.5120
[INFO] [1778233654.915244081] [aruco_distance_test]: id=4, distance=0.5176, z=0.5109
[INFO] [1778233655.410606556] [aruco_distance_test]: id=4, distance=0.5176, z=0.5109
[INFO] [1778233655.914405194] [aruco_distance_test]: id=4, distance=0.5176, z=0.5109
[INFO] [1778233656.493147079] [aruco_distance_test]: id=4, distance=0.5176, z=0.5109
[INFO] [1778233657.102157177] [aruco_distance_test]: id=4, distance=0.5176, z=0.5109
[INFO] [1778233657.672344836] [aruco_distance_test]: id=4, distance=0.5176, z=0.5109
[INFO] [1778233658.124488696] [aruco_distance_test]: id=4, distance=0.5176, z=0.5109
[INFO] [1778233658.573364678] [aruco_distance_test]: id=4, distance=0.5176, z=0.5109
